86989409 Gianna Herman; 408-555-0160 3.9 1
92302365 Bradley Bass; 408-555-0105 2.9 2
31221262 Hassan Ewing; 408-555-0121 2.5 3
43770539 Sherlyn Stephenson; 408-555-0182 3.9 4
72514139 Eliza Perry; 408-555-0102 3.6 1
93328556 Juliana Payne; 408-555-0167 2.9 2
84939872 Kaliyah Barker; 408-555-0157 2.8 3
86602735 Brenna Watkins; 408-555-0112 2.9 4
64054296 Kenzie Mayo; 408-555-0140 3.2 1
46858953 Tanya Walters; 408-555-0104 3.2 2
23493818 Jaslyn Boyer; 408-555-0161 3.3 3
79917374 Jovanni Oliver; 408-555-0129 3.7 4
39196385 Alexis Ellison; 408-555-0142 3.1 1
41666037 Miracle Fritz; 408-555-0102 3.8 2
98742105 Fernando Burch; 408-555-0102 2.9 3
38531897 Beau Macdonald; 408-555-0185 3.0 4
47534408 Kaliyah Valdez; 408-555-0151 3.5 1
14604765 Reina Soto; 408-555-0139 3.0 2
71197689 Sandra Olson; 415-555-0111 2.9 3
53000885 Abbie Mathis; 415-555-0127 3.1 4
56945718 Dayton Levy; 415-555-0193 3.2 1
27680939 Jolie Kramer; 415-555-0172 4.0 2
98112190 Damien Moses; 415-555-0178 2.8 3
69503049 Lena Copeland; 415-555-0102 3.5 4
22352022 Isaiah Velasquez; 404-555-0166 3.5 1
63319821 Phillip Werner; 404-555-0133 3.6 2
32974992 Gloria Golden; 404-555-0174 2.9 3
27491622 Denisse Olson; 404-555-0192 3.7 4
95921698 Diamond Daniel; 404-555-0149 3.4 1
